dh,dd,hh,cnt
2018010100,20180101,00,672
2018010101,20180101,01,804
2018010102,20180101,02,914
2018010103,20180101,03,993
2018010104,20180101,04,1062
2018010105,20180101,05,1169
2018010106,20180101,06,1376
2018010107,20180101,07,1888
2018010108,20180101,08,2415
2018010109,20180101,09,2816
2018010110,20180101,10,3164
2018010111,20180101,11,3396
2018010112,20180101,12,3407
2018010113,20180101,13,3342
2018010114,20180101,14,3193
2018010115,20180101,15,2975
2018010116,20180101,16,2555
2018010117,20180101,17,2038
2018010118,20180101,18,1662
2018010119,20180101,19,1481
2018010120,20180101,20,1279
2018010121,20180101,21,1064
2018010122,20180101,22,767
2018010123,20180101,23,406
2018010200,20180102,00,352
2018010201,20180102,01,424
2018010202,20180102,02,492
2018010203,20180102,03,552
2018010204,20180102,04,596
2018010205,20180102,05,678
2018010206,20180102,06,862
2018010207,20180102,07,1257
2018010208,20180102,08,1627
2018010209,20180102,09,1873
2018010210,20180102,10,2055
2018010211,20180102,11,2169
2018010212,20180102,12,2199
2018010213,20180102,13,2173
2018010214,20180102,14,2164
2018010215,20180102,15,2013
2018010216,20180102,16,1851
2018010217,20180102,17,1617
2018010218,20180102,18,1465
2018010219,20180102,19,1369
2018010220,20180102,20,1208
2018010221,20180102,21,1037
2018010222,20180102,22,714
2018010223,20180102,23,385
2018010300,20180103,00,345
2018010301,20180103,01,431
2018010302,20180103,02,497
2018010303,20180103,03,538
2018010304,20180103,04,583
2018010305,20180103,05,672
2018010306,20180103,06,885
2018010307,20180103,07,1235
2018010308,20180103,08,1590
2018010309,20180103,09,1752
2018010310,20180103,10,1838
2018010311,20180103,11,1907
2018010312,20180103,12,1949
2018010313,20180103,13,1932
2018010314,20180103,14,1906
2018010315,20180103,15,1857
2018010316,20180103,16,1780
2018010317,20180103,17,1598
2018010318,20180103,18,1449
2018010319,20180103,19,1351
2018010320,20180103,20,1201
2018010321,20180103,21,1018
2018010322,20180103,22,766
2018010323,20180103,23,409
2018010400,20180104,00,421
2018010401,20180104,01,535
2018010402,20180104,02,617
2018010403,20180104,03,660
2018010404,20180104,04,719
2018010405,20180104,05,832
2018010406,20180104,06,1045
2018010407,20180104,07,1382
2018010408,20180104,08,1613
2018010409,20180104,09,1821
2018010410,20180104,10,1944
2018010411,20180104,11,1991
2018010412,20180104,12,2028
2018010413,20180104,13,2009
2018010414,20180104,14,2021
2018010415,20180104,15,2001
2018010416,20180104,16,1899
2018010417,20180104,17,1798
2018010418,20180104,18,1724
2018010419,20180104,19,1608
2018010420,20180104,20,1472
2018010421,20180104,21,1260
2018010422,20180104,22,911
2018010423,20180104,23,493
2018010500,20180105,00,403
2018010501,20180105,01,494
2018010502,20180105,02,568
2018010503,20180105,03,621
2018010504,20180105,04,681
2018010505,20180105,05,770
2018010506,20180105,06,963
2018010507,20180105,07,1316
2018010508,20180105,08,1571
2018010509,20180105,09,1704
2018010510,20180105,10,1800
2018010511,20180105,11,1878
2018010512,20180105,12,1916
2018010513,20180105,13,1909
2018010514,20180105,14,1898
2018010515,20180105,15,1870
2018010516,20180105,16,1778
2018010517,20180105,17,1618
2018010518,20180105,18,1517
2018010519,20180105,19,1455
2018010520,20180105,20,1360
2018010521,20180105,21,1169
2018010522,20180105,22,879
2018010523,20180105,23,515
2018010600,20180106,00,416
